"lines","trtC","trtS"
"CS76360",-1.36395496762682,-1.17518319097485
"CS76390",-1.59090809236415,-1.04235040694755
"CS76409",-1.10305980139727,-1.21677311145522
"CS76441",-1.19061909272619,-1.29507808021812
"CS76473",-1.40131626962325,-1.01505063457843
"CS76513",-1.49777721967102,-0.860429338830758
"CS76537",-1.04900789805587,-1.20307174207225
"CS76572",-1.5426653374962,-1.28570046619715
"CS76632",-1.79058969951081,NA
"CS76642",-1.10724146194276,NA
"CS76649",-1.42396193050469,-1.3103984279885
"CS76650",-1.29768579376098,-1.01578204443427
"CS76674",-1.40479539148696,-1.36528822679422
"CS76689",-1.59227253390815,-1.17730624876377
"CS76691",-1.56865481642211,-1.28663396420038
"CS76692",-1.61576144313602,-0.999346720228184
"CS76693",-1.3946314721701,-1.14088454880088
"CS76695",-1.63463387923402,-1.2948115025787
"CS76706",-1.45169636590434,NA
"CS76721",-1.24757017214683,-1.13580655127029
"CS76739",-1.58359035004117,-1.43333000205921
"CS76741",-0.994072799476121,-1.05580807274065
"CS76769",-1.4488042093341,-1.22859139088544
"CS76770",-1.10987303342191,-1.29510768175998
"CS76774",-1.36959577497556,-1.2048496990701
"CS76786",-1.72694676604239,NA
"CS76790",-1.13971791895004,-0.510682345193845
"CS76836",-1.16248145224073,-1.40667261715452
"CS76854",-0.963202055967441,-1.37387571594359
"CS76886",-1.6075554477027,-1.68018984905241
"CS76953",-1.45614607840832,-1.21269904178843
"CS76958",-1.45375606515967,-1.4371480922706
"CS76978",-1.43164213341815,-1.23906772704752
"CS76979",-1.41241910417045,-1.37367954290082
"CS76994",-0.888495606587469,-0.541795132143663
"CS76996",-0.716304392799652,-2.00329015316734
"CS76998",-1.38415666950557,-1.28235642000111
"CS76999",-1.28190251217705,-1.23994402362011
"CS77000",-1.36056129620979,-1.13374216997701
"CS77001",-1.34194883434581,-1.23915025116591
"CS77002",-1.49624113152561,-1.20670958328321
"CS77004",-1.30403563838069,-1.36990947739845
"CS77006",-1.37017370211226,-1.428552018594
"CS77020",NA,NA
"CS77023",-1.11885774416966,-1.31437933969246
"CS77028",-1.94189184169012,-1.41721460849756
"CS77033",-1.32978676093417,-1.52015404706191
"CS77057",-1.28087068341555,-1.20646827481713
"CS77107",-1.39565967067629,-1.28312236029231
"CS77126",-1.20866183722652,NA
"CS77179",-0.717717764127324,-1.31387904862591
"CS77190",-1.13483618489923,-1.07264092672922
"CS77196",-1.56619015005258,-1.37392596684145
"CS77197",-1.5417769237586,-1.04584354272298
"CS77229",-1.48424861531247,-1.31584915958404
"CS77287",-0.707597594162172,NA
"CS77387",NA,NA
"CS78778",-1.5192797404301,-1.47305463561187
"CS78841",-1.02529596696046,-0.994173465028291
"CS78848",-1.28426690848983,-1.50597081570579
